Test_Date,County_Code,Zip_Code,Positive_Cases,Total_Tests
4/1/20,119,10804,2,16
4/1/20,59,11559,11,16
4/1/20,805,7109,0,1
4/1/20,95,12122,0,2
4/1/20,29,14052,1,7
4/1/20,55,14623,2,12
4/1/20,55,14607,2,14
4/1/20,55,14534,0,7
4/1/20,29,14139,1,3
4/1/20,67,13215,0,8
4/1/20,805,7055,2,4
4/1/20,121,14525,1,2
4/1/20,9,14726,0,1
4/1/20,77,12155,0,1
4/1/20,805,60084,0,4
4/1/20,87,1952,1,1
4/1/20,805,8759,0,2
4/1/20,37,14056,0,1
4/1/20,119,10582,0,1
4/1/20,29,14057,0,1
4/1/20,61,10006,0,1
4/1/20,51,14482,0,1
4/1/20,61,10154,0,1
4/1/20,805,85041,0,1
4/1/20,805,8536,1,1
4/1/20,69,14469,0,2
4/1/20,119,12742,1,1
4/1/20,1,12209,0,2
4/1/20,103,11720,12,24
4/1/20,71,12583,0,1
4/1/20,29,14228,4,12
4/1/20,81,11362,10,15
4/1/20,59,1152,1,1
4/1/20,81,11423,28,40
4/1/20,59,11561,15,37
4/1/20,119,10548,16,27
4/1/20,59,11001,10,18
4/1/20,29,14004,2,6
4/1/20,59,11572,10,22
4/1/20,805,7030,0,4
4/1/20,103,11971,1,3
4/1/20,103,11950,10,17
4/1/20,119,10504,1,11
4/1/20,105,12566,0,4
4/1/20,805,8701,7,11
4/1/20,111,12428,0,4
4/1/20,51,14533,0,1
4/1/20,55,14445,1,5
4/1/20,805,13408,1,1
4/1/20,111,12404,0,2
4/1/20,35,,1,2
4/1/20,805,19713,0,1
4/1/20,103,11755,7,11
4/1/20,71,12577,0,5
4/1/20,67,13207,2,6
4/1/20,61,10044,3,4
4/1/20,63,14301,4,7
4/1/20,3,14065,0,1
4/1/20,113,12860,0,1
4/1/20,805,29206,0,1
4/1/20,105,12789,0,2
4/1/20,805,6615,1,1
4/1/20,51,14517,0,1
4/1/20,805,7604,0,1
4/1/20,805,7747,0,2
4/1/20,105,12758,0,1
4/1/20,105,,0,1
4/1/20,805,90004,1,1
4/1/20,103,11775,0,1
4/1/20,79,10542,1,1
4/1/20,105,12743,0,1
4/1/20,805,19464,0,1
4/1/20,63,14132,2,2
4/1/20,805,32792,1,1
4/1/20,805,19702,1,1
4/1/20,805,18840,0,1
4/1/20,805,8050,0,1
4/1/20,805,60643,0,1
4/1/20,19,,0,1
4/1/20,119,10710,27,58
4/1/20,5,10452,52,77
4/1/20,5,10475,43,82
4/1/20,103,11780,9,19
4/1/20,1,12204,0,3
4/1/20,71,10940,42,120
4/1/20,61,10025,16,26
4/1/20,55,14450,0,13
4/1/20,47,11222,8,21
4/1/20,55,14612,1,16
4/1/20,113,12845,0,1
4/1/20,45,13605,0,4
4/1/20,1,,2,28
4/1/20,23,13101,0,4
4/1/20,111,12528,5,14
4/1/20,41,12108,0,1
4/1/20,11,13021,1,9
4/1/20,23,13077,0,9
4/1/20,71,10928,1,1
4/1/20,89,13680,0,2
4/1/20,805,33162,1,1
4/1/20,33,12983,0,1
4/1/20,67,13138,0,1
4/1/20,65,13413,0,1
4/1/20,15,14905,0,3
4/1/20,97,14891,0,1
4/1/20,51,14480,0,1
4/1/20,805,18624,0,1
4/1/20,805,6518,0,1
4/1/20,15,14903,0,2
4/1/20,87,10931,0,1
4/1/20,805,60618,0,1
4/1/20,53,13061,0,1
4/1/20,51,14423,0,1
4/1/20,29,14026,1,1
4/1/20,81,11368,93,136
4/1/20,59,,52,203
4/1/20,111,12561,4,10
4/1/20,47,11234,41,59
4/1/20,81,11434,53,72
4/1/20,119,10591,17,34
4/1/20,81,11415,5,13
4/1/20,61,10001,4,14
4/1/20,81,11419,29,41
4/1/20,47,11233,29,49
4/1/20,59,11570,13,28
4/1/20,71,12553,16,53
4/1/20,59,11554,34,43
4/1/20,805,7306,0,7
4/1/20,81,11416,16,23
4/1/20,61,10032,27,39
4/1/20,59,11542,27,40
4/1/20,805,8831,3,18
4/1/20,103,11779,19,39
4/1/20,805,20740,0,1
4/1/20,805,6810,0,2
4/1/20,29,14127,2,14
4/1/20,47,11215,9,28
